protein1,protein2,combined_score
9606.ENSP00000222145,9606.ENSP00000360764,423
9606.ENSP00000222145,9606.ENSP00000395708,408
9606.ENSP00000222145,9606.ENSP00000341815,642
9606.ENSP00000222747,9606.ENSP00000308208,400
9606.ENSP00000222747,9606.ENSP00000495360,462
9606.ENSP00000222747,9606.ENSP00000379350,578
9606.ENSP00000222747,9606.ENSP00000434034,997
9606.ENSP00000222747,9606.ENSP00000285018,476
9606.ENSP00000222747,9606.ENSP00000406367,680
9606.ENSP00000222747,9606.ENSP00000495811,997
9606.ENSP00000223095,9606.ENSP00000379350,429
9606.ENSP00000223095,9606.ENSP00000263734,670
9606.ENSP00000223095,9606.ENSP00000480043,489
9606.ENSP00000223095,9606.ENSP00000371790,477
9606.ENSP00000223095,9606.ENSP00000232003,658
9606.ENSP00000223095,9606.ENSP00000314897,545
9606.ENSP00000223095,9606.ENSP00000275493,699
9606.ENSP00000223095,9606.ENSP00000261023,411
9606.ENSP00000223095,9606.ENSP00000282397,457
9606.ENSP00000223095,9606.ENSP00000452786,519
9606.ENSP00000223095,9606.ENSP00000306512,736
9606.ENSP00000223095,9606.ENSP00000362299,514
9606.ENSP00000223095,9606.ENSP00000302486,550
9606.ENSP00000223095,9606.ENSP00000330382,414
9606.ENSP00000223095,9606.ENSP00000216117,638
9606.ENSP00000223095,9606.ENSP00000219070,755
9606.ENSP00000223095,9606.ENSP00000301455,496
9606.ENSP00000223095,9606.ENSP00000391800,454
9606.ENSP00000223095,9606.ENSP00000428340,477
9606.ENSP00000223095,9606.ENSP00000269571,447
9606.ENSP00000223095,9606.ENSP00000447297,623
9606.ENSP00000223095,9606.ENSP00000364979,466
9606.ENSP00000223095,9606.ENSP00000404131,417
9606.ENSP00000223095,9606.ENSP00000308208,525
9606.ENSP00000223095,9606.ENSP00000498587,524
9606.ENSP00000223095,9606.ENSP00000312652,851
9606.ENSP00000223095,9606.ENSP00000495360,494
9606.ENSP00000223095,9606.ENSP00000264498,741
9606.ENSP00000223095,9606.ENSP00000339191,529
9606.ENSP00000223095,9606.ENSP00000326737,470
9606.ENSP00000223095,9606.ENSP00000457421,527
9606.ENSP00000223095,9606.ENSP00000264664,486
9606.ENSP00000223095,9606.ENSP00000280357,480
9606.ENSP00000223095,9606.ENSP00000229795,527
9606.ENSP00000223095,9606.ENSP00000293379,564
9606.ENSP00000223095,9606.ENSP00000416330,689
9606.ENSP00000223095,9606.ENSP00000212015,457
9606.ENSP00000223095,9606.ENSP00000260356,819
9606.ENSP00000223095,9606.ENSP00000297494,610
9606.ENSP00000223095,9606.ENSP00000252804,553
9606.ENSP00000223095,9606.ENSP00000351209,570
9606.ENSP00000223095,9606.ENSP00000362680,446
9606.ENSP00000223095,9606.ENSP00000263923,453
9606.ENSP00000223095,9606.ENSP00000360266,586
9606.ENSP00000223095,9606.ENSP00000228837,486
9606.ENSP00000223095,9606.ENSP00000262407,438
9606.ENSP00000223095,9606.ENSP00000352798,438
9606.ENSP00000223095,9606.ENSP00000346032,790
9606.ENSP00000223095,9606.ENSP00000265171,571
9606.ENSP00000223095,9606.ENSP00000346839,790
9606.ENSP00000223095,9606.ENSP00000356954,819
9606.ENSP00000223095,9606.ENSP00000451040,461
9606.ENSP00000223095,9606.ENSP00000261799,405
9606.ENSP00000223095,9606.ENSP00000225831,918
9606.ENSP00000223095,9606.ENSP00000274625,495
9606.ENSP00000223095,9606.ENSP00000295666,441
9606.ENSP00000223095,9606.ENSP00000365280,440
9606.ENSP00000223095,9606.ENSP00000437955,624
9606.ENSP00000225831,9606.ENSP00000288135,687
9606.ENSP00000225831,9606.ENSP00000447297,402
9606.ENSP00000225831,9606.ENSP00000216117,697
9606.ENSP00000225831,9606.ENSP00000257290,645
9606.ENSP00000225831,9606.ENSP00000301455,409
9606.ENSP00000225831,9606.ENSP00000499900,781
9606.ENSP00000225831,9606.ENSP00000219070,704
9606.ENSP00000225831,9606.ENSP00000378191,472
9606.ENSP00000225831,9606.ENSP00000269571,448
9606.ENSP00000225831,9606.ENSP00000428340,542
9606.ENSP00000225831,9606.ENSP00000333769,461
9606.ENSP00000225831,9606.ENSP00000391800,539
9606.ENSP00000225831,9606.ENSP00000312652,769
