adr_id,compound_id,source
C0042401,CHEMBL535,SIDER
C1142412,CHEMBL535,SIDER
C0042963,CHEMBL535,SIDER
C0043096,CHEMBL535,SIDER
C0043352,CHEMBL535,SIDER
C0085096,CHEMBL535,SIDER
C0085593,CHEMBL535,SIDER
C0085605,CHEMBL535,SIDER
C0085631,CHEMBL535,SIDER
C0085649,CHEMBL535,SIDER
C0086525,CHEMBL535,SIDER
C0151735,CHEMBL535,SIDER
C0151828,CHEMBL535,SIDER
C0178298,CHEMBL535,SIDER
C0037274,CHEMBL535,SIDER
C0231528,CHEMBL535,SIDER
C0232292,CHEMBL535,SIDER
C0235710,CHEMBL535,SIDER
C0232487,CHEMBL535,SIDER
C0232488,CHEMBL535,SIDER
C0235527,CHEMBL535,SIDER
C2939447,CHEMBL535,SIDER
C0236000,CHEMBL535,SIDER
C0242184,CHEMBL535,SIDER
C0267596,CHEMBL535,SIDER
C0270458,CHEMBL535,SIDER
C1269683,CHEMBL535,SIDER
C0392025,CHEMBL535,SIDER
C0000731,CHEMBL535,SIDER
C0392171,CHEMBL535,SIDER
C0521839,CHEMBL535,SIDER
C0392386,CHEMBL535,SIDER
C0424295,CHEMBL535,SIDER
C0428977,CHEMBL535,SIDER
C0521491,CHEMBL535,SIDER
C0858797,CHEMBL535,SIDER
C0851341,CHEMBL535,SIDER
C1384353,CHEMBL535,SIDER
C0860239,CHEMBL535,SIDER
C1619702,CHEMBL535,SIDER
C0917801,CHEMBL535,SIDER
C1141861,CHEMBL535,SIDER
C1285577,CHEMBL535,SIDER
C0009676,CHEMBL535,SIDER
C2830004,CHEMBL535,SIDER
C0000737,CHEMBL535,SIDER
C0687713,CHEMBL535,SIDER
C0002631,CHEMBL535,SIDER
C0004604,CHEMBL535,SIDER
C0011991,CHEMBL535,SIDER
C0012739,CHEMBL535,SIDER
C0013927,CHEMBL535,SIDER
C1868769,CHEMBL535,SIDER
C0015930,CHEMBL535,SIDER
C0015944,CHEMBL535,SIDER
C0015967,CHEMBL535,SIDER
C0018811,CHEMBL535,SIDER
C0020517,CHEMBL535,SIDER
C0020649,CHEMBL535,SIDER
C0021053,CHEMBL535,SIDER
C0027497,CHEMBL535,SIDER
C0032961,CHEMBL535,SIDER
C0042143,CHEMBL535,SIDER
C0042373,CHEMBL535,SIDER
C0042963,CHEMBL535,SIDER
C0243026,CHEMBL535,SIDER
C0269842,CHEMBL535,SIDER
C0410916,CHEMBL535,SIDER
C0410959,CHEMBL535,SIDER
C0428977,CHEMBL535,SIDER
C0001122,CHEMBL535,SIDER
C0018965,CHEMBL535,SIDER
C0020488,CHEMBL535,SIDER
C0030193,CHEMBL535,SIDER
C0677500,CHEMBL535,SIDER
C0010037,CHEMBL535,SIDER
C0010038,CHEMBL535,SIDER
C0013404,CHEMBL535,SIDER
C0016382,CHEMBL535,SIDER
C0020649,CHEMBL535,SIDER
C0038990,CHEMBL535,SIDER
C0020458,CHEMBL535,SIDER
C0428977,CHEMBL535,SIDER
C0948284,CHEMBL535,SIDER
C0002792,CHEMBL535,SIDER
C0002994,CHEMBL535,SIDER
C0003578,CHEMBL535,SIDER
C0003811,CHEMBL535,SIDER
C0004093,CHEMBL535,SIDER
C0004238,CHEMBL535,SIDER
C0004245,CHEMBL535,SIDER
C0004604,CHEMBL535,SIDER
C0006266,CHEMBL535,SIDER
C0008031,CHEMBL535,SIDER
C0010200,CHEMBL535,SIDER
C0012833,CHEMBL535,SIDER
C0013144,CHEMBL535,SIDER
C2830004,CHEMBL535,SIDER
C0013404,CHEMBL535,SIDER
C0015230,CHEMBL535,SIDER
C0011603,CHEMBL535,SIDER
C0016382,CHEMBL535,SIDER
C0018681,CHEMBL535,SIDER
C0018790,CHEMBL535,SIDER
C0018799,CHEMBL535,SIDER
C0018801,CHEMBL535,SIDER
C0020517,CHEMBL535,SIDER
C0020538,CHEMBL535,SIDER
C0020578,CHEMBL535,SIDER
C0020649,CHEMBL535,SIDER
C0025061,CHEMBL535,SIDER
C0027051,CHEMBL535,SIDER
C0948089,CHEMBL535,SIDER
C0027424,CHEMBL535,SIDER
C0027497,CHEMBL535,SIDER
C0027769,CHEMBL535,SIDER
C0233494,CHEMBL535,SIDER
C0028643,CHEMBL535,SIDER
C0278134,CHEMBL535,SIDER
C0020580,CHEMBL535,SIDER
C0030193,CHEMBL535,SIDER
C0030252,CHEMBL535,SIDER
C0030554,CHEMBL535,SIDER
C0033036,CHEMBL535,SIDER
C0036454,CHEMBL535,SIDER
C0036572,CHEMBL535,SIDER
C0037188,CHEMBL535,SIDER
C2747891,CHEMBL535,SIDER
C0038454,CHEMBL535,SIDER
C0038990,CHEMBL535,SIDER
C0020458,CHEMBL535,SIDER
C0039070,CHEMBL535,SIDER
C0041657,CHEMBL535,SIDER
C0036974,CHEMBL535,SIDER
C0039231,CHEMBL535,SIDER
C0039239,CHEMBL535,SIDER
C0040264,CHEMBL535,SIDER
C0040479,CHEMBL535,SIDER
C0040822,CHEMBL535,SIDER
C0042109,CHEMBL535,SIDER
C0042510,CHEMBL535,SIDER
C0042514,CHEMBL535,SIDER
C0042963,CHEMBL535,SIDER
C0043352,CHEMBL535,SIDER
C0079043,CHEMBL535,SIDER
C0085606,CHEMBL535,SIDER
C0042023,CHEMBL535,SIDER
